

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 12 15:27:58 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Janus (610)                     {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455207.500000000, A.D. 2010-Jan-11 00:00:00.0000,  8.067744823549991E+04,  1.113380299088532E+05, -6.570446485344211E+04, -1.327888512418507E+01,  7.983989159577184E+00, -2.874896987608110E+00,
2455208.500000000, A.D. 2010-Jan-12 00:00:00.0000, -1.225640685134736E+05, -7.249167418814042E+04,  4.951433164462666E+04,  9.240653985215953E+00, -1.185267428425153E+01,  5.278124777786890E+00,
2455209.500000000, A.D. 2010-Jan-13 00:00:00.0000,  1.461209777549202E+05,  2.896609737949068E+04, -2.911676292146709E+04, -3.967551416346490E+00,  1.373972644363866E+01, -6.768173747690422E+00,
2455210.500000000, A.D. 2010-Jan-14 00:00:00.0000, -1.494320358069304E+05,  2.519734190714526E+04,  1.232698476511436E+03, -2.164605692615420E+00, -1.383935441105177E+01,  7.409489378383189E+00,
2455211.500000000, A.D. 2010-Jan-15 00:00:00.0000,  1.321890671150360E+05, -6.908812753724372E+04,  2.328010204112168E+04,  7.645809311264187E+00,  1.206107754076617E+01, -7.009798603680320E+00,
2455212.500000000, A.D. 2010-Jan-16 00:00:00.0000, -9.475352751924921E+04,  1.092045423501499E+05, -4.776155806681223E+04, -1.223329206976722E+01, -8.301892561889996E+00,  5.492280492882884E+00,
2455213.500000000, A.D. 2010-Jan-17 00:00:00.0000,  4.533739499142323E+04, -1.289859014365842E+05,  6.280001947513221E+04,  1.516707948147743E+01,  3.665911368131487E+00, -3.358951289976811E+00,
2455214.500000000, A.D. 2010-Jan-18 00:00:00.0000,  1.098728662917323E+04,  1.344492831766480E+05, -7.103688809981203E+04, -1.565278529103984E+01,  1.639504461906121E+00,  6.422471972556585E-01,
2455215.500000000, A.D. 2010-Jan-19 00:00:00.0000, -6.677844013706235E+04, -1.170184522664183E+05,  6.729331009813539E+04,  1.425564184330253E+01, -6.803446896652733E+00,  2.181105529159518E+00,
2455216.500000000, A.D. 2010-Jan-20 00:00:00.0000,  1.108389112077756E+05,  8.755861387616885E+04, -5.615539434852268E+04, -1.066369450853920E+01,  1.072523924549315E+01, -4.567257588480018E+00,
2455217.500000000, A.D. 2010-Jan-21 00:00:00.0000, -1.418249632792579E+05, -3.999912158767985E+04,  3.433587068262125E+04,  5.465070266753871E+00, -1.342391533117340E+01,  6.469259962638453E+00,
2455218.500000000, A.D. 2010-Jan-22 00:00:00.0000,  1.506526555128324E+05, -6.694883022013210E+03, -1.084715657634423E+04,  2.002446655565853E-01,  1.407921379161110E+01, -7.350882082215188E+00,
2455219.500000000, A.D. 2010-Jan-23 00:00:00.0000, -1.390796773226394E+05,  5.902445898744970E+04, -1.752300645629758E+04, -6.176961870490996E+00, -1.263867890426071E+01,  7.169551294222400E+00,
2455220.500000000, A.D. 2010-Jan-24 00:00:00.0000,  1.076122448601039E+05, -9.720852931477543E+04,  4.041863706544984E+04,  1.111023542572295E+01,  9.685901678217144E+00, -6.100141213067497E+00,
2455221.500000000, A.D. 2010-Jan-25 00:00:00.0000, -6.110705330490683E+04,  1.261803180258408E+05, -5.994085658924410E+04, -1.436658568093452E+01, -5.064839949955280E+00,  4.001260916685053E+00,
2455222.500000000, A.D. 2010-Jan-26 00:00:00.0000,  4.659166262290095E+03, -1.335781019683506E+05,  6.916022209725923E+04,  1.589252935844923E+01, -1.444588708054094E-01, -1.430660219190640E+00,
2455223.500000000, A.D. 2010-Jan-27 00:00:00.0000,  4.969910184639911E+04,  1.255852850526133E+05, -7.015264650072667E+04, -1.483151005084765E+01,  5.222336474709703E+00, -1.317427934097441E+00,
2455224.500000000, A.D. 2010-Jan-28 00:00:00.0000, -1.009328908954052E+05, -9.548043526923520E+04,  5.931403670114955E+04,  1.181921699860102E+01, -9.844212569210834E+00,  4.013029556532111E+00,
2455225.500000000, A.D. 2010-Jan-29 00:00:00.0000,  1.336383474367686E+05,  5.719754229899527E+04, -4.244778067361517E+04, -7.246151377729475E+00,  1.277767797365473E+01, -5.976268672355193E+00,
2455226.500000000, A.D. 2010-Jan-30 00:00:00.0000, -1.509036149432737E+05, -4.676596505777131E+03,  1.668814906669396E+04,  1.325766226655490E+00, -1.402079983298182E+01,  7.185177234924691E+00,
2455227.500000000, A.D. 2010-Jan-31 00:00:00.0000,  1.443230698084447E+05, -4.247242137576183E+04,  8.532065102234656E+03,  4.452762928908898E+00,  1.339220646162283E+01, -7.403985668960957E+00,
2455228.500000000, A.D. 2010-Feb-01 00:00:00.0000, -1.188923904404040E+05,  8.871848893808165E+04, -3.506625771051379E+04, -9.747377753365841E+00, -1.057326527755860E+01,  6.433775024246239E+00,
2455229.500000000, A.D. 2010-Feb-02 00:00:00.0000,  7.478061063196210E+04, -1.184883676879213E+05,  5.477029602590459E+04,  1.378140609367080E+01,  6.536963156165442E+00, -4.708468090077827E+00,
2455230.500000000, A.D. 2010-Feb-03 00:00:00.0000, -2.289976470758269E+04,  1.343987568676654E+05, -6.797400341492408E+04, -1.553751211256741E+01, -1.461522054755450E+00,  2.225195873888341E+00,
2455231.500000000, A.D. 2010-Feb-04 00:00:00.0000, -3.656044335075098E+04, -1.283133118357632E+05,  7.040774477976141E+04,  1.540864863733032E+01, -3.951598618452972E+00,  6.128778035968470E-01,
2455232.500000000, A.D. 2010-Feb-05 00:00:00.0000,  8.541899459452168E+04,  1.076366309104280E+05, -6.421971946054130E+04, -1.295852440426761E+01,  8.507599539257596E+00, -3.222870422023509E+00,
2455233.500000000, A.D. 2010-Feb-06 00:00:00.0000, -1.277011054897557E+05, -6.699727971489757E+04,  4.698085467744622E+04,  8.528833572420792E+00, -1.213793799257026E+01,  5.536225563175153E+00,
2455234.500000000, A.D. 2010-Feb-07 00:00:00.0000,  1.470576898986298E+05,  2.215668830848284E+04, -2.538173094143847E+04, -3.214821792914454E+00,  1.394091445497622E+01, -6.978657049725751E+00,
2455235.500000000, A.D. 2010-Feb-08 00:00:00.0000, -1.491455941756913E+05,  3.094687207649100E+04, -2.166275028335762E+03, -2.879175350485758E+00, -1.362534459821908E+01,  7.387535434779261E+00,
2455236.500000000, A.D. 2010-Feb-09 00:00:00.0000,  1.271457611316025E+05, -7.554715689462944E+04,  2.754358950864503E+04,  8.440630059448653E+00,  1.166774986146142E+01, -6.887935169653378E+00,
2455237.500000000, A.D. 2010-Feb-10 00:00:00.0000, -9.013834319428554E+04,  1.122192039924921E+05, -5.019341603928236E+04, -1.265539060004072E+01, -7.775763533630027E+00,  5.250255312460412E+00,
2455238.500000000, A.D. 2010-Feb-11 00:00:00.0000,  3.614940361862747E+04, -1.310004586175761E+05,  6.508893678563995E+04,  1.539911488268779E+01,  2.868011448227928E+00, -2.942511960762555E+00,
2455239.500000000, A.D. 2010-Feb-12 00:00:00.0000,  1.739488488521262E+04,  1.330563767745513E+05, -7.119892041084159E+04, -1.563945398233611E+01,  2.295742442942785E+00,  2.650175127204116E-01,
2455240.500000000, A.D. 2010-Feb-13 00:00:00.0000, -7.502721798906381E+04, -1.135421064654469E+05,  6.640848913325595E+04,  1.376586572309290E+01, -7.433994800035969E+00,  2.598386467605127E+00,
2455241.500000000, A.D. 2010-Feb-14 00:00:00.0000,  1.154156914968822E+05,  8.152972363759797E+04, -5.345780080536717E+04, -1.009648663383466E+01,  1.124187662775374E+01, -4.935202079517742E+00,
2455242.500000000, A.D. 2010-Feb-15 00:00:00.0000, -1.450867741964655E+05, -3.372958449466990E+04,  3.123337830255403E+04,  4.654592417810870E+00, -1.353362599069242E+01,  6.645438882969677E+00,
2455243.500000000, A.D. 2010-Feb-16 00:00:00.0000,  1.496214051450207E+05, -1.499405518238907E+04, -6.159714663509588E+03,  1.139785004661352E+00,  1.405783703844788E+01, -7.464003206102023E+00,
2455244.500000000, A.D. 2010-Feb-17 00:00:00.0000, -1.366447246226793E+05,  6.436261994940302E+04, -2.090286798709748E+04, -6.872539004093703E+00, -1.228004702888816E+01,  7.071698580470703E+00,
2455245.500000000, A.D. 2010-Feb-18 00:00:00.0000,  1.002183543449437E+05, -1.031021543146643E+05,  4.460665135908699E+04,  1.179772910502764E+01,  9.018878275840281E+00, -5.826542447028405E+00,
2455246.500000000, A.D. 2010-Feb-19 00:00:00.0000, -5.464730196986190E+04,  1.277903993478772E+05, -6.181626836577901E+04, -1.470554568551577E+01, -4.408025026359877E+00,  3.684843790073451E+00,
