

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 12 15:24:42 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Epimetheus (611)                {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455207.500000000, A.D. 2010-Jan-11 00:00:00.0000,  6.492957522437396E+04,  1.179251391917882E+05, -6.753191449765004E+04, -1.426326850917457E+01,  6.815044106078889E+00, -2.093631820122536E+00,
2455208.500000000, A.D. 2010-Jan-12 00:00:00.0000, -1.146145003371263E+05, -8.452874778976687E+04,  5.520407814756561E+04,  1.035577232297643E+01, -1.090004205677787E+01,  4.600065789183216E+00,
2455209.500000000, A.D. 2010-Jan-13 00:00:00.0000,  1.403624173828519E+05,  3.993475548531151E+04, -3.468092998706040E+04, -5.448676238786452E+00,  1.358787610695265E+01, -6.481231313993693E+00,
2455210.500000000, A.D. 2010-Jan-14 00:00:00.0000, -1.522175570316263E+05,  9.769648424185893E+03,  1.013062116106601E+04, -4.571473814610520E-01, -1.393068816860548E+01,  7.246983474840964E+00,
2455211.500000000, A.D. 2010-Jan-15 00:00:00.0000,  1.364663076770687E+05, -6.058040427886565E+04,  1.773192259463043E+04,  6.462654909839787E+00,  1.270334931208442E+01, -7.208509661705908E+00,
2455212.500000000, A.D. 2010-Jan-16 00:00:00.0000, -1.083834712377572E+05,  9.879833679945025E+04, -4.029346117997716E+04, -1.108843182321695E+01, -9.500462006273867E+00,  6.009838460143984E+00,
2455213.500000000, A.D. 2010-Jan-17 00:00:00.0000,  5.604169528333959E+04, -1.271821381529383E+05,  6.015657381787090E+04,  1.460887587713774E+01,  4.770244035357034E+00, -3.911281449827338E+00,
2455214.500000000, A.D. 2010-Jan-18 00:00:00.0000, -5.851670122993548E+03,  1.342039865061334E+05, -6.874371937165591E+04, -1.584667944180920E+01,  2.148246881362233E-01,  1.454759753361649E+00,
2455215.500000000, A.D. 2010-Jan-19 00:00:00.0000, -5.519241098542688E+04, -1.240486278688029E+05,  6.950537776864611E+04,  1.465048966986765E+01, -5.583524206205956E+00,  1.439477613803830E+00,
2455216.500000000, A.D. 2010-Jan-20 00:00:00.0000,  9.979021904167403E+04,  9.528701280847019E+04, -5.901520963793414E+04, -1.183504606502031E+01,  1.000017785102662E+01, -4.000003440969297E+00,
