

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 19 13:38:43 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Janus (610)                     {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2010-Jan-02 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.527083333, A.D. 2010-Jan-01 00:39:00.0000,  4.905174956743012E+04, -1.283583680452728E+05,  6.201566031775504E+04,  1.502553443025556E+01,  3.947820260933277E+00, -3.519424111803214E+00,
2455197.527777778, A.D. 2010-Jan-01 00:40:00.0000,  4.995229436542477E+04, -1.281189326117040E+05,  6.180325573772650E+04,  1.499252594748849E+01,  4.033332882412033E+00, -3.560704291054744E+00,
2455197.528472222, A.D. 2010-Jan-01 00:41:00.0000,  5.085084074908272E+04, -1.278743714907884E+05,  6.158837873103983E+04,  1.495892086323004E+01,  4.118675933914271E+00, -3.601838059961225E+00,
2455197.529166667, A.D. 2010-Jan-01 00:42:00.0000,  5.174735296651284E+04, -1.276246949595841E+05,  6.137103813152852E+04,  1.492472065480178E+01,  4.203845988204346E+00, -3.642823779224748E+00,
2455197.529861111, A.D. 2010-Jan-01 00:43:00.0000,  5.264179535519001E+04, -1.273699135005284E+05,  6.115124287118045E+04,  1.488992682373232E+01,  4.288839626560788E+00, -3.683659816338078E+00,
2455197.530555556, A.D. 2010-Jan-01 00:44:00.0000,  5.353413234340491E+04, -1.271100378009227E+05,  6.092900197972858E+04,  1.485454089567330E+01,  4.373653438919884E+00, -3.724344545651177E+00,
2455197.531250000, A.D. 2010-Jan-01 00:45:00.0000,  5.442432845170883E+04, -1.268450787524092E+05,  6.070432458423752E+04,  1.481856442031437E+01,  4.458284024018602E+00, -3.764876348437272E+00,
2455197.531944444, A.D. 2010-Jan-01 00:46:00.0000,  5.531234829435356E+04, -1.265750474504382E+05,  6.047721990868612E+04,  1.478199897129710E+01,  4.542727989536897E+00, -3.805253612958509E+00,
2455197.532638889, A.D. 2010-Jan-01 00:47:00.0000,  5.619815658072560E+04, -1.262999551937272E+05,  6.024769727354621E+04,  1.474484614612785E+01,  4.626981952239396E+00, -3.845474734531177E+00,
2455197.533333333, A.D. 2010-Jan-01 00:48:00.0000,  5.708171811677574E+04, -1.260198134837121E+05,  6.001576609535742E+04,  1.470710756608964E+01,  4.711042538116417E+00, -3.885538115590490E+00,
2455197.534027778, A.D. 2010-Jan-01 00:49:00.0000,  5.796299780644265E+04, -1.257346340239890E+05,  5.978143588629810E+04,  1.466878487615296E+01,  4.794906382524342E+00, -3.925442165754923E+00,
2455197.534722222, A.D. 2010-Jan-01 00:50:00.0000,  5.884196065307181E+04, -1.254444287197478E+05,  5.954471625375230E+04,  1.462987974488560E+01,  4.878570130325341E+00, -3.965185301890128E+00,
2455197.535416667, A.D. 2010-Jan-01 00:51:00.0000,  5.971857176082818E+04, -1.251492096771985E+05,  5.930561689987325E+04,  1.459039386436145E+01,  4.962030436026422E+00, -4.004765948172385E+00,
2455197.536111111, A.D. 2010-Jan-01 00:52:00.0000,  6.059279633610423E+04, -1.248489892029874E+05,  5.906414762114263E+04,  1.455032895006831E+01,  5.045283963917831E+00, -4.044182536151629E+00,
2455197.536805556, A.D. 2010-Jan-01 00:53:00.0000,  6.146459968892171E+04, -1.245437798036070E+05,  5.882031830792638E+04,  1.450968674081470E+01,  5.128327388210744E+00, -4.083433504814004E+00,
2455197.537500000, A.D. 2010-Jan-01 00:54:00.0000,  6.233394723432809E+04, -1.242335941847956E+05,  5.857413894402665E+04,  1.446846899863573E+01,  5.211157393174304E+00, -4.122517300643983E+00,
2455197.538194444, A.D. 2010-Jan-01 00:55:00.0000,  6.320080449378746E+04, -1.239184452509303E+05,  5.832561960622994E+04,  1.442667750869795E+01,  5.293770673271975E+00, -4.161432377686044E+00,
2455197.538888889, A.D. 2010-Jan-01 00:56:00.0000,  6.406513709656540E+04, -1.235983461044113E+05,  5.807477046385188E+04,  1.438431407920322E+01,  5.376163933297150E+00, -4.200177197605854E+00,
2455197.539583333, A.D. 2010-Jan-01 00:57:00.0000,  6.492691078110829E+04, -1.232733100450380E+05,  5.782160177827789E+04,  1.434138054129169E+01,  5.458333888508149E+00, -4.238750229751048E+00,
2455197.540277778, A.D. 2010-Jan-01 00:58:00.0000,  6.578609139641652E+04, -1.229433505693766E+05,  5.756612390250064E+04,  1.429787874894377E+01,  5.540277264762413E+00, -4.277149951211490E+00,
2455197.540972222, A.D. 2010-Jan-01 00:59:00.0000,  6.664264490341213E+04, -1.226084813701211E+05,  5.730834728065362E+04,  1.425381057888120E+01,  5.621990798650064E+00, -4.315374846879128E+00,
2455197.541666667, A.D. 2010-Jan-01 01:00:00.0000,  6.749653737630020E+04, -1.222687163354442E+05,  5.704828244754122E+04,  1.420917793046713E+01,  5.703471237626702E+00, -4.353423409507339E+00,
2455197.542361111, A.D. 2010-Jan-01 01:01:00.0000,  6.834773500392429E+04, -1.219240695483424E+05,  5.678594002816537E+04,  1.416398272560533E+01,  5.784715340145500E+00, -4.391294139769844E+00,
2455197.543055556, A.D. 2010-Jan-01 01:02:00.0000,  6.919620409111587E+04, -1.215745552859718E+05,  5.652133073724846E+04,  1.411822690863847E+01,  5.865719875788555E+00, -4.428985546319117E+00,
2455197.543750000, A.D. 2010-Jan-01 01:03:00.0000,  7.004191106003754E+04, -1.212201880189761E+05,  5.625446537875295E+04,  1.407191244624549E+01,  5.946481625397531E+00, -4.466496145844362E+00,
2455197.544444445, A.D. 2010-Jan-01 01:04:00.0000,  7.088482245152027E+04, -1.208609824108078E+05,  5.598535484539739E+04,  1.402504132733800E+01,  6.026997381203537E+00, -4.503824463128995E+00,
2455197.545138889, A.D. 2010-Jan-01 01:05:00.0000,  7.172490492639394E+04, -1.204969533170404E+05,  5.571401011816906E+04,  1.397761556295597E+01,  6.107263946956259E+00, -4.540969031107648E+00,
2455197.545833333, A.D. 2010-Jan-01 01:06:00.0000,  7.256212526681215E+04, -1.201281157846740E+05,  5.544044226583323E+04,  1.392963718616230E+01,  6.187278138052383E+00, -4.577928390922721E+00,
2455197.546527778, A.D. 2010-Jan-01 01:07:00.0000,  7.339645037757025E+04, -1.197544850514318E+05,  5.516466244443902E+04,  1.388110825193671E+01,  6.267036781663198E+00, -4.614701091980420E+00,
2455197.547222222, A.D. 2010-Jan-01 01:08:00.0000,  7.422784728741723E+04, -1.193760765450507E+05,  5.488668189682181E+04,  1.383203083706864E+01,  6.346536716861500E+00, -4.651285692006351E+00,
2455197.547916667, A.D. 2010-Jan-01 01:09:00.0000,  7.505628315036105E+04, -1.189929058825628E+05,  5.460651195210253E+04,  1.378240704004939E+01,  6.425774794747694E+00, -4.687680757100612E+00,
2455197.548611111, A.D. 2010-Jan-01 01:10:00.0000,  7.588172524696750E+04, -1.186049888695703E+05,  5.432416402518345E+04,  1.373223898096328E+01,  6.504747878575138E+00, -4.723884861792403E+00,
2455197.549305555, A.D. 2010-Jan-01 01:11:00.0000,  7.670414098565241E+04, -1.182123414995126E+05,  5.403964961624092E+04,  1.368152880137815E+01,  6.583452843874713E+00, -4.759896589094151E+00,
2455197.550000000, A.D. 2010-Jan-01 01:12:00.0000,  7.752349790396755E+04, -1.178149799529256E+05,  5.375298031021469E+04,  1.363027866423484E+01,  6.661886578578614E+00, -4.795714530555162E+00,
2455197.550694444, A.D. 2010-Jan-01 01:13:00.0000,  7.833976366987939E+04, -1.174129205966944E+05,  5.346416777629410E+04,  1.357849075373597E+01,  6.740045983143343E+00, -4.831337286314760E+00,
2455197.551388889, A.D. 2010-Jan-01 01:14:00.0000,  7.915290608304174E+04, -1.170061799832977E+05,  5.317322376740111E+04,  1.352616727523385E+01,  6.817927970671947E+00, -4.866763465154960E+00,
2455197.552083333, A.D. 2010-Jan-01 01:15:00.0000,  7.996289307606121E+04, -1.165947748500457E+05,  5.288016011967018E+04,  1.347331045511762E+01,  6.895529467035425E+00, -4.901991684552637E+00,
2455197.552777778, A.D. 2010-Jan-01 01:16:00.0000,  8.076969271575594E+04, -1.161787221183102E+05,  5.258498875192505E+04,  1.341992254069955E+01,  6.972847410993344E+00, -4.937020570731194E+00,
2455197.553472222, A.D. 2010-Jan-01 01:17:00.0000,  8.157327320440777E+04, -1.157580388927480E+05,  5.228772166515230E+04,  1.336600580010061E+01,  7.049878754313680E+00, -4.971848758711760E+00,
2455197.554166667, A.D. 2010-Jan-01 01:18:00.0000,  8.237360288100698E+04, -1.153327424605162E+05,  5.198837094197213E+04,  1.331156252213515E+01,  7.126620461891828E+00, -5.006474892363872E+00,
2455197.554861111, A.D. 2010-Jan-01 01:19:00.0000,  8.317065022249086E+04, -1.149028502904819E+05,  5.168694874610580E+04,  1.325659501619496E+01,  7.203069511868803E+00, -5.040897624455662E+00,
2455197.555555556, A.D. 2010-Jan-01 01:20:00.0000,  8.396438384497436E+04, -1.144683800324229E+05,  5.138346732184032E+04,  1.320110561213244E+01,  7.279222895748633E+00, -5.075115616703558E+00,
2455197.556250000, A.D. 2010-Jan-01 01:21:00.0000,  8.475477250497472E+04, -1.140293495162233E+05,  5.107793899349000E+04,  1.314509666014306E+01,  7.355077618514930E+00, -5.109127539821469E+00,
2455197.556944444, A.D. 2010-Jan-01 01:22:00.0000,  8.554178510062800E+04, -1.135857767510609E+05,  5.077037616485520E+04,  1.308857053064712E+01,  7.430630698746641E+00, -5.142932073569485E+00,
2455197.557638889, A.D. 2010-Jan-01 01:23:00.0000,  8.632539067289945E+04, -1.131376799245879E+05,  5.046079131867806E+04,  1.303152961417067E+01,  7.505879168732973E+00, -5.176527906802060E+00,
2455197.558333333, A.D. 2010-Jan-01 01:24:00.0000,  8.710555840678589E+04, -1.126850774021049E+05,  5.014919701609547E+04,  1.297397632122583E+01,  7.580820074587470E+00, -5.209913737515703E+00,
2455197.559027778, A.D. 2010-Jan-01 01:25:00.0000,  8.788225763251155E+04, -1.122279877257284E+05,  4.983560589608902E+04,  1.291591308219025E+01,  7.655450476361285E+00, -5.243088272896157E+00,
2455197.559722222, A.D. 2010-Jan-01 01:26:00.0000,  8.865545782671626E+04, -1.117664296135506E+05,  4.952003067493234E+04,  1.285734234718599E+01,  7.729767448155600E+00, -5.276050229365088E+00,
2455197.560416667, A.D. 2010-Jan-01 01:27:00.0000,  8.942512861363639E+04, -1.113004219587936E+05,  4.920248414563558E+04,  1.279826658595763E+01,  7.803768078233195E+00, -5.308798332626240E+00,
2455197.561111111, A.D. 2010-Jan-01 01:28:00.0000,  9.019123976627867E+04, -1.108299838289558E+05,  4.888297917738697E+04,  1.273868828774966E+01,  7.877449469129183E+00, -5.341331317711111E+00,
2455197.561805556, A.D. 2010-Jan-01 01:29:00.0000,  9.095376120758634E+04, -1.103551344649530E+05,  4.856152871499195E+04,  1.267860996118329E+01,  7.950808737760896E+00, -5.373647929024107E+00,
2455197.562500000, A.D. 2010-Jan-01 01:30:00.0000,  9.171266301159823E+04, -1.098758932802514E+05,  4.823814577830938E+04,  1.261803413413247E+01,  8.023843015536920E+00, -5.405746920387182E+00,
2455197.563194444, A.D. 2010-Jan-01 01:31:00.0000,  9.246791540459993E+04, -1.093922798599953E+05,  4.791284346168516E+04,  1.255696335359931E+01,  8.096549448465272E+00, -5.437627055083989E+00,
2455197.563888889, A.D. 2010-Jan-01 01:32:00.0000,  9.321948876626801E+04, -1.089043139601280E+05,  4.758563493338320E+04,  1.249540018558882E+01,  8.168925197260718E+00, -5.469287105903495E+00,
2455197.564583333, A.D. 2010-Jan-01 01:33:00.0000,  9.396735363080619E+04, -1.084120155065061E+05,  4.725653343501393E+04,  1.243334721498304E+01,  8.240967437451225E+00, -5.500725855183099E+00,
2455197.565277778, A.D. 2010-Jan-01 01:34:00.0000,  9.471148068807430E+04, -1.079154045940071E+05,  4.692555228095991E+04,  1.237080704541445E+01,  8.312673359483570E+00, -5.531942094851239E+00,
