

*******************************************************************************
Ephemeris / WWW_USER Fri Nov 19 13:39:11 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Epimetheus (611)                {source: sat415_merged_DE437}
Center body name: Saturn (699)                    {source: sat415_merged_DE437}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2010-Jan-02 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {W-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {W-lon(deg),Dxy(km),Dz(km)}
Center radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2455197.529861111, A.D. 2010-Jan-01 00:43:00.0000,  6.557939387936148E+04, -1.229184986520644E+05,  5.712198688490974E+04,  1.423123168567523E+01,  5.692451135312386E+00, -4.411833519066436E+00,
2455197.530555556, A.D. 2010-Jan-01 00:44:00.0000,  6.643194525773534E+04, -1.225744856341051E+05,  5.685613176622149E+04,  1.418705140677437E+01,  5.774613092944311E+00, -4.449975041361990E+00,
2455197.531250000, A.D. 2010-Jan-01 00:45:00.0000,  6.728182852221950E+04, -1.222255494795637E+05,  5.658799334352453E+04,  1.414229483097379E+01,  5.856555118191377E+00, -4.487943384959912E+00,
2455197.531944444, A.D. 2010-Jan-01 00:46:00.0000,  6.812900914474530E+04, -1.218717034868840E+05,  5.631758205566776E+04,  1.409696362067402E+01,  5.938273795593945E+00, -4.525736946701191E+00,
2455197.532638889, A.D. 2010-Jan-01 00:47:00.0000,  6.897345269774807E+04, -1.215129611592135E+05,  5.604490843749529E+04,  1.405105946360083E+01,  6.019765717197571E+00, -4.563354129916540E+00,
2455197.533333333, A.D. 2010-Jan-01 00:48:00.0000,  6.981512485568516E+04, -1.211493362039473E+05,  5.576998311945472E+04,  1.400458407275645E+01,  6.101027482716722E+00, -4.600793344506408E+00,
2455197.534027778, A.D. 2010-Jan-01 00:49:00.0000,  7.065399139655120E+04, -1.207808425322636E+05,  5.549281682720051E+04,  1.395753918636935E+01,  6.182055699698374E+00, -4.638053007020762E+00,
2455197.534722222, A.D. 2010-Jan-01 00:50:00.0000,  7.149001820338993E+04, -1.204074942586488E+05,  5.521342038119269E+04,  1.390992656784258E+01,  6.262846983685595E+00, -4.675131540738733E+00,
2455197.535416667, A.D. 2010-Jan-01 00:51:00.0000,  7.232317126580329E+04, -1.200293057004127E+05,  5.493180469629063E+04,  1.386174800570072E+01,  6.343397958380991E+00, -4.712027375748032E+00,
2455197.536111111, A.D. 2010-Jan-01 00:52:00.0000,  7.315341668145687E+04, -1.196462913771941E+05,  5.464798078134225E+04,  1.381300531353536E+01,  6.423705255810084E+00, -4.748738949024191E+00,
2455197.536805556, A.D. 2010-Jan-01 00:53:00.0000,  7.398072065758247E+04, -1.192584660104563E+05,  5.436195973876824E+04,  1.376370032994916E+01,  6.503765516484585E+00, -4.785264704509603E+00,
2455197.537500000, A.D. 2010-Jan-01 00:54:00.0000,  7.480504951247689E+04, -1.188658445229736E+05,  5.407375276414188E+04,  1.371383491849851E+01,  6.583575389565514E+00, -4.821603093192333E+00,
2455197.538194444, A.D. 2010-Jan-01 00:55:00.0000,  7.562636967699748E+04, -1.184684420383069E+05,  5.378337114576377E+04,  1.366341096763472E+01,  6.663131533026228E+00, -4.857752573184738E+00,
2455197.538888889, A.D. 2010-Jan-01 00:56:00.0000,  7.644464769605402E+04, -1.180662738802700E+05,  5.349082626423208E+04,  1.361243039064381E+01,  6.742430613815268E+00, -4.893711609801842E+00,
2455197.539583333, A.D. 2010-Jan-01 00:57:00.0000,  7.725985023009691E+04, -1.176593555723869E+05,  5.319612959200804E+04,  1.356089512558483E+01,  6.821469308019086E+00, -4.929478675639508E+00,
2455197.540277778, A.D. 2010-Jan-01 00:58:00.0000,  7.807194405660176E+04, -1.172477028373380E+05,  5.289929269297679E+04,  1.350880713522679E+01,  6.900244301024565E+00, -4.965052250652349E+00,
2455197.540972222, A.D. 2010-Jan-01 00:59:00.0000,  7.888089607155004E+04, -1.168313315963974E+05,  5.260032722200343E+04,  1.345616840698412E+01,  6.978752287681393E+00, -5.000430822231420E+00,
2455197.541666667, A.D. 2010-Jan-01 01:00:00.0000,  7.968667329090572E+04, -1.164102579688602E+05,  5.229924492448465E+04,  1.340298095285070E+01,  7.056989972464228E+00, -5.035612885281656E+00,
2455197.542361111, A.D. 2010-Jan-01 01:01:00.0000,  8.048924285208815E+04, -1.159844982714605E+05,  5.199605763589541E+04,  1.334924680933247E+01,  7.134954069634661E+00, -5.070596942299058E+00,
2455197.543055556, A.D. 2010-Jan-01 01:02:00.0000,  8.128857201544064E+04, -1.155540690177789E+05,  5.169077728133131E+04,  1.329496803737863E+01,  7.212641303402958E+00, -5.105381503447610E+00,
2455197.543750000, A.D. 2010-Jan-01 01:03:00.0000,  8.208462816569509E+04, -1.151189869176407E+05,  5.138341587504613E+04,  1.324014672231132E+01,  7.290048408089600E+00, -5.139965086635952E+00,
2455197.544444445, A.D. 2010-Jan-01 01:04:00.0000,  8.287737881343205E+04, -1.146792688765049E+05,  5.107398551998488E+04,  1.318478497375396E+01,  7.367172128286559E+00, -5.174346217593769E+00,
2455197.545138889, A.D. 2010-Jan-01 01:05:00.0000,  8.366679159653670E+04, -1.142349319948426E+05,  5.076249840731225E+04,  1.312888492555812E+01,  7.444009219018305E+00, -5.208523429947890E+00,
2455197.545833333, A.D. 2010-Jan-01 01:06:00.0000,  8.445283428165030E+04, -1.137859935675068E+05,  5.044896681593655E+04,  1.307244873572892E+01,  7.520556445902615E+00, -5.242495265298141E+00,
2455197.546527778, A.D. 2010-Jan-01 01:07:00.0000,  8.523547476561715E+04, -1.133324710830911E+05,  5.013340311202902E+04,  1.301547858634905E+01,  7.596810585311043E+00, -5.276260273292866E+00,
2455197.547222222, A.D. 2010-Jan-01 01:08:00.0000,  8.601468107692689E+04, -1.128743822232806E+05,  4.981581974853854E+04,  1.295797668350135E+01,  7.672768424529125E+00, -5.309817011704180E+00,
2455197.547916667, A.D. 2010-Jan-01 01:09:00.0000,  8.679042137715215E+04, -1.124117448621917E+05,  4.949622926470227E+04,  1.289994525718995E+01,  7.748426761916298E+00, -5.343164046502912E+00,
2455197.548611111, A.D. 2010-Jan-01 01:10:00.0000,  8.756266396238147E+04, -1.119445770657030E+05,  4.917464428555113E+04,  1.284138656125996E+01,  7.823782407065483E+00, -5.376299951933236E+00,
2455197.549305555, A.D. 2010-Jan-01 01:11:00.0000,  8.833137726464728E+04, -1.114728970907766E+05,  4.885107752141144E+04,  1.278230287331575E+01,  7.898832180962374E+00, -5.409223310586998E+00,
2455197.550000000, A.D. 2010-Jan-01 01:12:00.0000,  8.909652985334897E+04, -1.109967233847696E+05,  4.852554176740162E+04,  1.272269649463785E+01,  7.973572916144368E+00, -5.441932713477716E+00,
2455197.550694444, A.D. 2010-Jan-01 01:13:00.0000,  8.985809043667091E+04, -1.105160745847366E+05,  4.819804990292490E+04,  1.266256975009833E+01,  8.048001456859154E+00, -5.474426760114247E+00,
2455197.551388889, A.D. 2010-Jan-01 01:14:00.0000,  9.061602786299544E+04, -1.100309695167216E+05,  4.786861489115720E+04,  1.260192498807481E+01,  8.122114659222959E+00, -5.506704058574147E+00,
2455197.552083333, A.D. 2010-Jan-01 01:15:00.0000,  9.137031112231058E+04, -1.095414271950421E+05,  4.753724977853095E+04,  1.254076458036310E+01,  8.195909391378400E+00, -5.538763225576662E+00,
2455197.552777778, A.D. 2010-Jan-01 01:16:00.0000,  9.212090934761228E+04, -1.090474668215620E+05,  4.720396769421435E+04,  1.247909092208829E+01,  8.269382533651960E+00, -5.570602886555390E+00,
2455197.553472222, A.D. 2010-Jan-01 01:17:00.0000,  9.286779181630176E+04, -1.085491077849565E+05,  4.686878184958628E+04,  1.241690643161457E+01,  8.342530978711096E+00, -5.602221675730604E+00,
2455197.554166667, A.D. 2010-Jan-01 01:18:00.0000,  9.361092795157692E+04, -1.080463696599661E+05,  4.653170553770712E+04,  1.235421355045350E+01,  8.415351631720883E+00, -5.633618236181192E+00,
